_RAJ2000,_DEJ2000,cl,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag
208.565261,14.681754,6,19.046,0.023,17.865,0.006,17.419,0.005,17.287,0.006,17.217,0.013
208.562055,14.697735,6,19.725,0.034,18.774,0.008,18.316,0.008,18.181,0.009,18.085,0.023
208.572278,14.690787,6,19.685,0.034,18.041,0.006,17.387,0.005,17.187,0.006,17.073,0.012
208.580467,14.690981,6,22.108,0.204,19.672,0.014,18.227,0.008,17.491,0.006,17.08,0.012
208.578624,14.69013,6,24.206,0.908,21.834,0.065,20.57,0.036,20.072,0.035,19.754,0.086
208.583358,14.68713,6,20.469,0.057,19.328,0.011,18.919,0.011,18.794,0.013,18.775,0.038
208.581244,14.688032,6,24.108,0.876,24.517,0.52,22.675,0.219,21.779,0.149,23.142,0.636
208.560213,14.677378,3,21.433,0.161,20.827,0.039,20.157,0.034,19.959,0.044,19.619,0.112
208.567727,14.679003,6,22.212,0.225,25.621,0.522,25.125,0.727,25.259,0.574,23.395,0.577
208.570099,14.681443,6,21.975,0.182,21.097,0.036,20.736,0.041,21.005,0.076,20.896,0.224
208.575735,14.680426,6,21.443,0.119,20.529,0.024,20.086,0.025,19.822,0.029,19.771,0.086
208.548783,14.688146,6,24.844,1.033,22.679,0.144,21.168,0.064,20.73,0.066,20.16,0.133
208.552068,14.683473,3,23.119,0.677,21.608,0.076,20.858,0.063,20.541,0.073,20.334,0.206
208.555336,14.689599,3,24.868,1.041,22.47,0.122,20.729,0.045,20.056,0.038,19.828,0.101
208.558611,14.68642,3,22.692,0.395,22.622,0.153,22.422,0.209,21.785,0.185,21.411,0.428
208.564608,14.693975,3,22.606,0.447,22.603,0.184,22.616,0.297,21.797,0.222,21.874,0.735
208.566542,14.686006,6,22.145,0.219,21.298,0.044,20.689,0.041,20.577,0.055,20.319,0.143
208.570193,14.68453,3,24.01,1.048,22.905,0.207,21.257,0.077,20.601,0.066,20.418,0.194
208.575235,14.692226,3,24.856,1.7,21.81,0.11,20.645,0.061,20.26,0.069,20.257,0.242
208.562492,14.691277,3,22.816,0.373,23.576,0.278,22.301,0.158,21.988,0.18,21.11,0.269
208.566445,14.674194,3,23.256,0.666,23.329,0.293,22.138,0.172,21.493,0.149,21.427,0.449
208.572308,14.679401,6,24.953,0.95,23.881,0.357,21.574,0.085,20.846,0.068,20.282,0.137
208.574158,14.697535,3,23.789,0.824,23.536,0.292,22.06,0.137,21.318,0.106,20.694,0.205
208.572345,14.69718,6,25.348,0.839,25.23,0.639,23.992,0.643,21.977,0.193,22.138,0.606
208.578087,14.686737,6,23.871,0.783,24.726,0.556,22.74,0.231,24.139,0.771,23.296,0.603
